loan_id,origination_month,original_balance,interest_rate,loan_term_months,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,vintage_year
LN0006022,2019-06,126000,5.625,360,780+,<=60,<=28,ID,Purchase,Primary,PUD,ServicerC,2019
LN0006023,2019-07,141000,4.5,360,780+,,44-50,NE,Refinance,Primary,Co-op,ServicerE,2019
LN0006024,2021-12,77000,2.625,360,620-659,<=60,>50,NE,Purchase,Primary,Single Family,ServicerC,2021
LN0006025,2021-02,186000,5.375,360,620-659,<=60,<=28,,Refinance,Primary,Co-op,ServicerD,2021
LN0006026,2018-10,353000,2.5,360,660-699,71-80,37-43,NM,Purchase,Primary,Condo,ServicerD,2018
LN0006027,2021-12,166000,6.25,120,780+,<=60,37-43,NE,Purchase,Primary,PUD,ServicerB,2021
LN0006028,2020-03,253000,3.25,360,620-659,91-95,44-50,AK,Refinance,Primary,Single Family,ServicerC,2020
LN0006029,2018-06,117000,4.75,360,740-779,<=60,44-50,NH,Purchase,Primary,Co-op,ServicerB,2018
LN0006030,2019-03,436000,5.75,360,620-659,91-95,37-43,NM,Refinance,Primary,Multi-Family,ServicerA,2019
LN0006031,2021-06,102000,3.25,360,740-779,61-70,37-43,NE,Purchase,Primary,Single Family,ServicerA,2021
LN0006032,2020-08,221000,2.75,240,660-699,71-80,44-50,NE,Refinance,Primary,Co-op,ServicerB,2020
LN0006033,2021-08,105000,4.125,360,740-779,61-70,,NM,Purchase,Primary,PUD,ServicerE,2021
LN0006034,2021-10,255000,2.25,120,660-699,91-95,44-50,ID,Refinance,Primary,Multi-Family,ServicerC,2021
LN0006035,2020-03,306000,8.5,180,740-779,71-80,44-50,ID,Purchase,Primary,Condo,ServicerA,2020
LN0006036,2019-07,290000,4.25,180,660-699,61-70,37-43,ID,Refinance,Primary,Multi-Family,ServicerA,2019
LN0006037,2021-09,227000,7.0,360,740-779,91-95,37-43,WV,Purchase,Primary,Condo,ServicerC,2021
LN0006038,2021-09,84000,6.0,360,780+,71-80,37-43,KS,Refinance,Investment,Condo,ServicerA,2021
LN0006039,2022-08,172000,3.375,180,620-659,71-80,29-36,NE,Cash-Out Refinance,Primary,Multi-Family,ServicerA,2022
LN0006040,2022-09,163000,6.5,360,780+,96-100,<=28,NE,Cash-Out Refinance,Primary,Single Family,ServicerC,2022
LN0006041,2019-07,308000,3.5,360,700-739,96-100,44-50,DE,Purchase,Primary,Co-op,ServicerD,2019
LN0006042,2018-10,265000,6.125,360,620-659,<=60,44-50,,Cash-Out Refinance,Primary,Multi-Family,ServicerE,2018
LN0006043,2021-09,203000,2.75,360,700-739,81-90,29-36,VT,Purchase,Primary,Condo,ServicerE,2021
LN0006044,2022-12,90000,6.875,360,620-659,71-80,44-50,DE,Cash-Out Refinance,Primary,Multi-Family,ServicerE,2022
LN0006045,2019-12,552000,3.5,360,740-779,91-95,37-43,SD,Cash-Out Refinance,Primary,Co-op,ServicerC,2019
LN0006046,2018-04,147000,2.375,360,740-779,71-80,44-50,AK,Purchase,Investment,Single Family,ServicerE,2018
LN0006047,2020-01,359000,4.25,240,620-659,<=60,44-50,ID,Purchase,Primary,Condo,ServicerD,2020
LN0006048,2019-01,229000,6.25,360,700-739,61-70,37-43,WV,Purchase,Primary,PUD,ServicerA,2019
LN0006049,2020-09,265000,3.625,360,740-779,61-70,44-50,NH,Cash-Out Refinance,Primary,Multi-Family,ServicerC,2020
LN0006050,2021-03,188000,6.5,360,780+,<=60,37-43,NH,Refinance,Primary,Condo,ServicerA,2021
LN0006051,2018-01,122000,10.5,240,700-739,,29-36,ID,Cash-Out Refinance,Primary,Single Family,ServicerE,2018
LN0006052,2020-06,115000,7.75,360,780+,71-80,37-43,MT,Other,Primary,Condo,ServicerD,2020
LN0006053,2019-05,324000,4.5,120,700-739,<=60,37-43,NV,Purchase,Primary,PUD,ServicerE,2019
LN0006054,2021-03,133000,5.125,360,700-739,91-95,29-36,ID,Refinance,Primary,PUD,ServicerB,2021
LN0006055,2022-07,135000,5.375,180,780+,96-100,29-36,NH,Cash-Out Refinance,Primary,PUD,ServicerD,2022
LN0006056,2019-04,116000,4.275,360,700-739,61-70,<=28,VT,Purchase,Primary,Single Family,ServicerC,2019
LN0006057,2019-01,171000,5.5,240,700-739,71-80,44-50,KS,Other,Primary,Condo,ServicerB,2019
LN0006058,2019-02,490000,2.625,240,700-739,<=60,<=28,NH,Purchase,Secondary,PUD,ServicerA,2019
LN0006059,2019-07,191000,4.0,360,780+,96-100,37-43,WY,Cash-Out Refinance,Primary,Condo,ServicerB,2019
LN0006060,2018-12,235000,4.0,360,,81-90,29-36,MT,Purchase,Investment,Condo,ServicerC,2018
LN0006061,2021-06,97000,6.125,360,700-739,96-100,44-50,VT,Purchase,Primary,Condo,ServicerD,2021
LN0006062,2018-12,125000,6.625,360,660-699,71-80,29-36,ID,Purchase,Primary,PUD,ServicerE,2018
LN0006063,2018-11,119000,6.25,360,700-739,96-100,37-43,RI,Refinance,Primary,Co-op,ServicerD,2018
LN0006064,2022-02,224000,4.625,360,700-739,61-70,44-50,MT,Purchase,Primary,PUD,ServicerC,2022
LN0006065,2021-10,459000,3.125,360,660-699,81-90,37-43,DE,Refinance,Primary,Condo,ServicerE,2021
LN0006066,2019-01,132000,3.125,360,740-779,71-80,44-50,KS,Purchase,Primary,PUD,ServicerB,2019
LN0006067,2019-06,170000,3.625,360,700-739,81-90,37-43,NE,Refinance,Primary,Multi-Family,ServicerD,2019
LN0006068,2019-02,144000,3.375,360,660-699,71-80,37-43,AK,Purchase,Primary,Co-op,ServicerA,2019
LN0006069,2019-02,181000,3.5,240,620-659,96-100,<=28,ID,Purchase,Primary,Condo,ServicerC,2019
LN0006070,2018-10,196000,3.5,360,660-699,96-100,44-50,WY,Purchase,Primary,PUD,ServicerE,2018
LN0006071,2021-03,282000,5.25,180,780+,71-80,<=28,,Cash-Out Refinance,Primary,PUD,ServicerD,2021
LN0006072,2019-08,146000,2.75,360,660-699,71-80,29-36,NM,Purchase,Primary,PUD,ServicerE,2019
LN0006073,2019-12,322000,3.25,120,620-659,61-70,37-43,WY,Refinance,Primary,Single Family,ServicerB,2019
LN0006074,2022-12,166000,7.875,360,700-739,96-100,37-43,NE,Refinance,Primary,Condo,ServicerE,2022
LN0006075,2020-08,111000,6.25,360,660-699,96-100,>50,NE,Purchase,Primary,PUD,ServicerA,2020
LN0006076,2021-12,117000,4.37,120,<620,71-80,37-43,HI,Purchase,Primary,Condo,ServicerA,2021
LN0006077,2020-08,161000,5.125,360,660-699,<=60,37-43,ID,Refinance,Primary,Multi-Family,ServicerC,2020
LN0006078,2018-05,216000,3.0,360,700-739,61-70,44-50,ID,Other,Primary,Co-op,ServicerE,2018
LN0006079,2018-03,204000,3.5,360,700-739,61-70,37-43,KS,Purchase,Primary,PUD,ServicerD,2018
LN0006080,2018-11,158000,2.875,240,660-699,71-80,>50,,Purchase,Investment,Co-op,ServicerB,2018
LN0006081,2018-10,141000,3.625,180,700-739,96-100,>50,NM,Purchase,Primary,Co-op,ServicerB,2018
LN0006082,2019-09,316000,3.25,360,780+,,44-50,NH,Refinance,Primary,Single Family,ServicerE,2019
LN0006083,2019-01,341000,4.0,360,660-699,,>50,VT,Purchase,Investment,PUD,ServicerC,2019
LN0006084,2021-07,262000,6.625,360,660-699,71-80,44-50,KS,Cash-Out Refinance,Primary,Condo,ServicerA,2021
LN0006085,2021-09,149000,3.5,360,660-699,71-80,,,Purchase,Investment,PUD,ServicerC,2021
LN0006086,2020-10,418000,7.75,240,700-739,71-80,37-43,NE,Purchase,Primary,Co-op,ServicerD,2020
LN0006087,2022-05,166000,6.5,360,740-779,>100,37-43,NM,Purchase,Primary,Single Family,ServicerC,2022
LN0006088,2019-07,89000,4.239,240,660-699,<=60,,KS,Refinance,Primary,PUD,ServicerC,2019
LN0006089,2019-05,547000,3.75,360,740-779,<=60,37-43,WV,Refinance,Primary,Co-op,ServicerE,2019
LN0006090,2018-09,234000,5.45,180,<620,61-70,<=28,AK,Purchase,Primary,Condo,ServicerD,2018
LN0006091,2021-03,279000,6.5,360,700-739,96-100,37-43,ID,Purchase,Primary,Condo,ServicerB,2021
LN0006092,2019-07,168000,2.375,240,740-779,71-80,>50,HI,Refinance,Primary,Multi-Family,ServicerA,2019
LN0006093,2022-01,173000,4.69,240,660-699,91-95,29-36,NE,Refinance,Primary,PUD,ServicerB,2022
LN0006094,2019-07,388000,4.5,360,700-739,<=60,<=28,KS,Refinance,Primary,PUD,ServicerE,2019
LN0006095,2019-12,280000,6.625,360,660-699,>100,,RI,Purchase,Primary,Co-op,ServicerC,2019
LN0006096,2022-10,84000,7.5,360,740-779,81-90,>50,MT,Refinance,Primary,Multi-Family,ServicerB,2022
LN0006097,2018-12,92000,4.5,360,<620,<=60,>50,NM,Purchase,Primary,Co-op,ServicerD,2018
LN0006098,2021-08,112000,2.75,180,780+,91-95,37-43,NV,Cash-Out Refinance,Primary,Co-op,ServicerC,2021
LN0006099,2020-11,284000,5.5,360,620-659,71-80,<=28,SD,Cash-Out Refinance,Investment,PUD,ServicerA,2020
LN0006100,2021-07,271000,6.25,360,780+,96-100,29-36,AK,Purchase,Primary,PUD,ServicerE,2021
LN0006101,2019-01,257000,3.75,360,660-699,71-80,>50,ND,Cash-Out Refinance,Primary,Co-op,ServicerA,2019
LN0006102,2020-11,194000,7.99,360,740-779,71-80,44-50,NM,Purchase,Primary,PUD,ServicerA,2020
LN0006103,2021-04,92000,5.99,360,660-699,71-80,37-43,NM,Cash-Out Refinance,Primary,Co-op,ServicerB,2021
LN0006104,2020-02,135000,7.875,360,,81-90,29-36,HI,Refinance,Primary,Multi-Family,ServicerC,2020
LN0006105,2018-02,423000,7.125,360,620-659,<=60,37-43,SD,Refinance,Primary,Single Family,ServicerB,2018
LN0006106,2020-10,296000,2.75,180,620-659,61-70,37-43,DE,Purchase,Primary,Single Family,ServicerD,2020
LN0006107,2020-01,70000,5.75,360,700-739,,44-50,SD,Purchase,Primary,PUD,ServicerC,2020
LN0006108,2019-05,180000,2.875,180,620-659,81-90,29-36,ID,Refinance,Primary,Multi-Family,ServicerC,2019
LN0006109,2019-09,145000,4.0,360,620-659,71-80,>50,NE,Refinance,Primary,Condo,ServicerE,2019
LN0006110,2018-02,418000,7.49,360,780+,96-100,44-50,ND,Cash-Out Refinance,Primary,Multi-Family,ServicerD,2018
LN0006111,2019-10,164000,5.478,360,780+,91-95,44-50,ID,Purchase,Secondary,Co-op,ServicerE,2019
LN0006112,2018-05,90000,2.625,360,660-699,91-95,37-43,SD,Purchase,Primary,Multi-Family,ServicerC,2018
LN0006113,2019-09,337000,5.45,180,780+,61-70,37-43,WY,Other,Primary,Multi-Family,ServicerA,2019
LN0006114,2019-11,371000,2.625,360,700-739,91-95,44-50,DE,Other,Primary,Multi-Family,ServicerA,2019
LN0006115,2018-04,97000,3.374,120,660-699,61-70,44-50,VT,Refinance,Primary,PUD,ServicerD,2018
LN0006116,2020-02,129000,2.99,360,740-779,96-100,37-43,VT,Purchase,Primary,Co-op,ServicerB,2020
LN0006117,2022-10,147000,3.375,360,740-779,<=60,44-50,ID,Refinance,Primary,Single Family,ServicerD,2022
LN0006118,2018-10,80000,4.625,360,780+,71-80,>50,MT,Cash-Out Refinance,Primary,PUD,ServicerD,2018
LN0006119,2021-01,385000,7.125,180,660-699,61-70,<=28,HI,Cash-Out Refinance,Primary,PUD,ServicerC,2021
LN0006120,2018-06,128000,6.0,360,740-779,61-70,37-43,HI,Purchase,Investment,Multi-Family,ServicerB,2018
LN0006121,2018-05,199000,3.875,360,<620,71-80,29-36,NE,Refinance,Primary,Condo,ServicerB,2018
LN0006122,2018-06,71000,6.875,360,620-659,71-80,44-50,,Purchase,Primary,Condo,ServicerD,2018
LN0006123,2020-07,233000,3.9,180,<620,91-95,37-43,ID,Other,Primary,Co-op,ServicerD,2020
LN0006124,2022-04,201000,2.875,360,780+,71-80,37-43,NH,Purchase,Primary,Single Family,ServicerA,2022
LN0006125,2020-07,111000,6.5,360,740-779,71-80,37-43,NM,Purchase,Primary,Co-op,ServicerB,2020
LN0006126,2020-03,300000,3.25,360,740-779,81-90,44-50,AK,Purchase,Primary,Single Family,ServicerA,2020
LN0006127,2018-06,115000,2.99,360,700-739,96-100,44-50,ND,Purchase,Primary,Condo,ServicerA,2018
LN0006128,2021-12,97000,6.75,360,660-699,81-90,<=28,NH,Refinance,Primary,Multi-Family,ServicerC,2021
LN0006129,2022-02,295000,2.99,360,620-659,61-70,44-50,HI,Refinance,Primary,Multi-Family,ServicerC,2022
LN0006130,2022-03,181000,2.99,360,660-699,71-80,37-43,ID,Refinance,Primary,Co-op,ServicerB,2022
LN0006131,2018-10,170000,2.25,360,660-699,61-70,44-50,,Purchase,Primary,Multi-Family,ServicerC,2018
LN0006132,2021-08,210000,6.74,360,740-779,61-70,29-36,RI,Purchase,Primary,Condo,ServicerA,2021
LN0006133,2022-01,420000,3.625,360,700-739,<=60,37-43,ID,Refinance,Primary,Multi-Family,ServicerB,2022
LN0006134,2020-03,329000,3.75,360,<620,96-100,37-43,NH,Purchase,Primary,Multi-Family,ServicerD,2020
LN0006135,2019-11,93000,6.99,360,<620,<=60,37-43,DE,Refinance,Primary,PUD,ServicerE,2019
LN0006136,2021-02,84000,4.375,360,620-659,96-100,44-50,VT,Purchase,Primary,Condo,ServicerE,2021
LN0006137,2018-12,281000,5.49,360,700-739,91-95,44-50,NM,Purchase,Primary,Co-op,ServicerE,2018
LN0006138,2019-04,75000,3.875,360,780+,71-80,<=28,NM,Purchase,Primary,Co-op,ServicerE,2019
LN0006139,2019-12,396000,2.4,360,740-779,96-100,<=28,AK,Refinance,Primary,Condo,ServicerB,2019
LN0006140,2019-09,209000,8.25,360,740-779,61-70,44-50,ID,Refinance,Primary,Multi-Family,ServicerE,2019
LN0006141,2022-12,267000,9.7,180,700-739,<=60,37-43,NE,Purchase,Primary,Co-op,ServicerE,2022
LN0006142,2022-11,50000,3.375,240,660-699,61-70,37-43,VT,Cash-Out Refinance,Primary,PUD,ServicerB,2022
LN0006143,2022-06,160000,3.25,360,620-659,71-80,29-36,SD,Refinance,Primary,Multi-Family,ServicerE,2022
LN0006144,2021-03,131000,4.99,360,780+,96-100,44-50,ID,Cash-Out Refinance,Primary,Condo,ServicerB,2021
LN0006145,2020-05,191000,3.0,360,740-779,<=60,29-36,NH,Refinance,Primary,Co-op,ServicerA,2020
LN0006146,2020-10,42000,2.875,360,620-659,71-80,>50,NM,Purchase,Primary,PUD,ServicerB,2020
LN0006147,2021-01,244000,4.75,360,700-739,<=60,37-43,VT,Cash-Out Refinance,Primary,PUD,ServicerA,2021
LN0006148,2021-04,192000,6.0,360,700-739,71-80,<=28,RI,Purchase,Primary,Condo,ServicerD,2021
LN0006149,2019-10,256000,2.99,360,740-779,91-95,<=28,NH,Purchase,Primary,Multi-Family,ServicerE,2019
LN0006150,2022-02,183000,2.5,180,780+,71-80,44-50,NH,Cash-Out Refinance,Primary,Co-op,ServicerD,2022
LN0006151,2019-10,252000,6.0,360,700-739,<=60,44-50,ID,Purchase,Primary,Single Family,ServicerC,2019
LN0006152,2021-02,77000,7.75,120,700-739,71-80,44-50,ID,Refinance,Primary,Co-op,ServicerA,2021
LN0006153,2018-03,307000,3.0,360,<620,<=60,44-50,NE,Purchase,Primary,Single Family,ServicerE,2018
LN0006154,2020-09,210000,3.5,180,<620,>100,>50,ND,Purchase,Primary,Single Family,ServicerD,2020
LN0006155,2018-08,138000,2.75,180,620-659,71-80,37-43,NH,Purchase,Primary,Condo,ServicerC,2018
LN0006156,2018-08,282000,7.0,360,<620,96-100,29-36,MS,Purchase,Investment,PUD,ServicerE,2018
LN0006157,2020-03,248000,3.125,180,740-779,96-100,37-43,NM,Purchase,Primary,Single Family,ServicerE,2020
LN0006158,2020-03,96000,3.875,360,740-779,<=60,37-43,NH,Purchase,Primary,Single Family,ServicerC,2020
LN0006159,2018-05,126000,3.25,180,620-659,71-80,37-43,VT,Purchase,Primary,Multi-Family,ServicerE,2018
LN0006160,2022-06,175000,6.49,180,780+,81-90,44-50,NM,Purchase,Primary,Condo,ServicerE,2022
LN0006161,2020-02,268000,3.25,360,620-659,71-80,44-50,WY,Purchase,Primary,Condo,ServicerC,2020
LN0006162,2018-03,171000,2.375,120,660-699,96-100,44-50,RI,Purchase,Primary,Single Family,ServicerA,2018
LN0006163,2021-05,56000,2.25,360,660-699,91-95,37-43,DE,Purchase,Primary,Condo,ServicerB,2021
LN0006164,2021-05,255000,5.99,360,660-699,61-70,37-43,WV,Refinance,Primary,PUD,ServicerA,2021
LN0006165,2021-11,145000,2.75,360,660-699,61-70,<=28,WY,Purchase,Primary,Single Family,ServicerE,2021
LN0006166,2019-02,169000,3.25,360,700-739,91-95,44-50,NH,Purchase,Primary,PUD,ServicerA,2019
LN0006167,2022-08,138000,6.375,360,700-739,96-100,44-50,ID,Cash-Out Refinance,Secondary,Condo,ServicerC,2022
LN0006168,2018-06,178000,2.375,360,780+,81-90,>50,ID,Purchase,Primary,PUD,ServicerC,2018
LN0006169,2020-07,153000,2.99,360,<620,81-90,44-50,NM,Purchase,Primary,Condo,ServicerB,2020
LN0006170,2021-10,238000,3.875,120,620-659,96-100,<=28,NE,Purchase,Investment,Single Family,ServicerE,2021
LN0006171,2019-08,56000,6.75,240,<620,71-80,37-43,DE,Purchase,Primary,Single Family,ServicerD,2019
LN0006172,2020-09,107000,2.99,180,740-779,71-80,29-36,VT,Purchase,Primary,Co-op,ServicerE,2020
LN0006173,2022-06,130000,3.125,360,<620,71-80,37-43,WV,Refinance,Primary,Multi-Family,ServicerB,2022
LN0006174,2020-02,125000,3.375,360,780+,81-90,>50,ID,Cash-Out Refinance,Primary,Co-op,ServicerD,2020
LN0006175,2021-09,82000,2.625,180,700-739,61-70,37-43,ID,Purchase,Primary,Condo,ServicerA,2021
LN0006176,2021-05,186000,4.875,360,700-739,<=60,44-50,AK,Purchase,Primary,PUD,ServicerD,2021
LN0006177,2018-10,206000,4.375,240,700-739,61-70,37-43,VT,Refinance,Primary,PUD,ServicerA,2018
LN0006178,2018-12,117000,2.75,360,620-659,91-95,37-43,DE,Purchase,Primary,Single Family,ServicerE,2018
LN0006179,2019-12,102000,4.0,120,620-659,<=60,44-50,DE,Purchase,Investment,Multi-Family,ServicerA,2019
LN0006180,2022-01,185000,3.5,360,660-699,61-70,37-43,NE,Cash-Out Refinance,Primary,Multi-Family,ServicerE,2022
LN0006181,2019-02,369000,6.99,360,700-739,91-95,<=28,NE,Refinance,Primary,Single Family,ServicerE,2019
LN0006182,2020-07,360000,7.875,360,660-699,>100,<=28,ID,Purchase,Primary,PUD,ServicerE,2020
LN0006183,2019-10,237000,6.0,360,620-659,71-80,29-36,ID,Cash-Out Refinance,Primary,PUD,ServicerB,2019
LN0006184,2021-02,196000,2.375,360,780+,61-70,>50,ID,Cash-Out Refinance,Primary,Condo,ServicerA,2021
LN0006185,2019-07,161000,3.0,180,<620,81-90,>50,HI,Cash-Out Refinance,Primary,Condo,ServicerB,2019
LN0006186,2021-11,508000,3.0,360,740-779,71-80,44-50,AK,Refinance,Primary,PUD,ServicerE,2021
LN0006187,2018-06,116000,7.5,360,740-779,71-80,37-43,AK,Purchase,Secondary,Single Family,ServicerA,2018
LN0006188,2021-08,83000,5.375,360,660-699,<=60,37-43,WY,Purchase,Investment,Co-op,ServicerE,2021
LN0006189,2022-08,105000,3.125,360,620-659,61-70,44-50,NM,Purchase,Primary,Co-op,ServicerC,2022
LN0006190,2018-02,110000,2.25,360,620-659,>100,<=28,AK,Purchase,Primary,PUD,ServicerB,2018
LN0006191,2019-12,96000,2.875,360,740-779,<=60,37-43,ND,Refinance,Primary,Co-op,ServicerC,2019
LN0006192,2018-07,326000,8.9,120,740-779,96-100,>50,VT,Refinance,Primary,Co-op,ServicerD,2018
LN0006193,2021-04,314000,3.875,360,740-779,<=60,37-43,MT,Purchase,Primary,Condo,ServicerA,2021
LN0006194,2021-06,70000,4.625,240,780+,96-100,44-50,,Purchase,Primary,PUD,ServicerC,2021
LN0006195,2018-06,250000,4.625,360,740-779,81-90,29-36,,Cash-Out Refinance,Primary,Condo,ServicerC,2018
LN0006196,2020-10,212000,4.125,360,620-659,61-70,,MS,Refinance,Investment,Co-op,ServicerE,2020
LN0006197,2021-04,445000,3.25,360,660-699,61-70,44-50,RI,Purchase,Primary,PUD,ServicerB,2021
LN0006198,2021-02,100000,5.625,360,780+,<=60,29-36,RI,Refinance,Primary,Single Family,ServicerB,2021
LN0006199,2020-08,186000,5.25,180,660-699,71-80,<=28,NM,Cash-Out Refinance,Investment,Single Family,ServicerA,2020
LN0006200,2018-09,122000,5.46,360,<620,>100,<=28,SD,Purchase,Primary,Multi-Family,ServicerC,2018
LN0006201,2019-08,123000,3.25,360,740-779,81-90,44-50,NE,Refinance,Primary,Single Family,ServicerD,2019
LN0006202,2019-11,272000,3.0,120,700-739,>100,37-43,WV,Purchase,Primary,Single Family,ServicerC,2019
LN0006203,2019-06,158000,5.49,360,780+,96-100,29-36,ID,Cash-Out Refinance,Primary,Co-op,ServicerB,2019
LN0006204,2022-01,376000,6.25,360,740-779,71-80,44-50,HI,Purchase,Primary,Single Family,ServicerB,2022
LN0006205,2022-07,182000,3.59,360,620-659,71-80,37-43,HI,Cash-Out Refinance,Investment,Condo,ServicerB,2022
LN0006206,2018-06,137000,2.5,180,780+,<=60,37-43,ID,Refinance,Primary,PUD,ServicerD,2018
LN0006207,2021-08,401000,3.5,360,660-699,91-95,37-43,MS,Cash-Out Refinance,Primary,Single Family,ServicerB,2021
LN0006208,2019-01,180000,2.625,360,660-699,96-100,37-43,DE,Purchase,Secondary,Single Family,ServicerC,2019
LN0006209,2019-01,186000,3.875,180,700-739,<=60,44-50,,Other,Primary,PUD,ServicerA,2019
LN0006210,2021-05,99000,3.375,360,<620,61-70,29-36,ND,Refinance,Primary,Condo,ServicerC,2021
LN0006211,2020-11,29000,2.75,360,700-739,96-100,29-36,NH,Refinance,Primary,Condo,ServicerA,2020
LN0006212,2019-02,134000,6.125,120,620-659,61-70,>50,MT,Refinance,Primary,Single Family,ServicerC,2019
LN0006213,2019-02,97000,3.44,360,700-739,<=60,44-50,NM,Refinance,Primary,Condo,ServicerD,2019
LN0006214,2020-07,356000,3.875,360,660-699,,>50,DE,Purchase,Primary,Co-op,ServicerC,2020
LN0006215,2018-05,218000,3.625,360,740-779,71-80,37-43,ID,Purchase,Primary,Single Family,ServicerB,2018
LN0006216,2021-07,233000,4.25,240,740-779,96-100,44-50,ND,Other,Primary,Condo,ServicerA,2021
LN0006217,2022-04,100000,2.5,360,620-659,71-80,44-50,KS,Purchase,Primary,Condo,ServicerB,2022
LN0006218,2020-03,158000,3.75,120,660-699,71-80,37-43,AK,Other,Primary,Multi-Family,ServicerB,2020
LN0006219,2018-02,105000,3.99,240,660-699,71-80,44-50,VT,Purchase,Primary,PUD,ServicerD,2018
LN0006220,2021-06,153000,5.35,360,620-659,71-80,29-36,RI,Refinance,Primary,Condo,ServicerE,2021
LN0006221,2020-03,282000,3.0,360,740-779,81-90,29-36,SD,Refinance,Primary,Single Family,ServicerC,2020
LN0006222,2019-06,257000,2.75,360,740-779,71-80,37-43,NE,Other,Primary,PUD,ServicerD,2019
LN0006223,2021-08,45000,4.69,360,620-659,81-90,29-36,NV,Purchase,Primary,Single Family,ServicerD,2021
LN0006224,2021-09,150000,4.24,120,660-699,81-90,44-50,HI,Other,Primary,Condo,ServicerD,2021
LN0006225,2019-12,67000,4.5,240,620-659,71-80,44-50,NE,Refinance,Primary,Single Family,ServicerB,2019
LN0006226,2021-06,87000,3.25,360,740-779,96-100,37-43,VT,Purchase,Primary,Single Family,ServicerA,2021
LN0006227,2022-07,189000,2.75,360,620-659,71-80,29-36,SD,Purchase,Primary,Condo,ServicerE,2022
LN0006228,2018-09,314000,6.625,360,780+,71-80,44-50,ND,Refinance,Primary,Single Family,ServicerA,2018
LN0006229,2022-04,101000,3.625,180,740-779,81-90,37-43,HI,Refinance,Primary,Multi-Family,ServicerC,2022
LN0006230,2018-12,251000,6.75,240,700-739,<=60,37-43,NE,Purchase,Primary,Condo,ServicerC,2018
LN0006231,2022-10,165000,3.0,240,700-739,<=60,<=28,VT,Refinance,Primary,Co-op,ServicerB,2022
LN0006232,2019-06,290000,2.75,360,780+,91-95,37-43,ND,Purchase,Primary,Condo,ServicerC,2019
LN0006233,2020-01,65000,2.875,240,700-739,<=60,37-43,ID,Refinance,Primary,Single Family,ServicerC,2020
LN0006234,2019-08,83000,7.375,240,620-659,61-70,44-50,NE,Cash-Out Refinance,Primary,Multi-Family,ServicerA,2019
LN0006235,2019-08,413000,9.65,240,660-699,91-95,29-36,NE,Purchase,Primary,Multi-Family,ServicerA,2019
LN0006236,2020-02,82000,5.0,360,780+,71-80,44-50,ID,Purchase,Primary,Multi-Family,ServicerD,2020
LN0006237,2021-05,45000,3.25,180,740-779,,<=28,NE,Other,Primary,Multi-Family,ServicerC,2021
LN0006238,2022-12,255000,3.625,360,740-779,81-90,37-43,NE,Refinance,Primary,Multi-Family,ServicerD,2022
LN0006239,2018-08,124000,6.125,360,780+,<=60,29-36,NM,Purchase,Primary,Multi-Family,ServicerE,2018
LN0006240,2019-11,267000,9.75,360,780+,91-95,<=28,NM,Purchase,Primary,Multi-Family,ServicerD,2019
LN0006241,2021-11,108000,6.125,360,780+,71-80,29-36,RI,Cash-Out Refinance,Primary,Condo,ServicerA,2021
LN0006242,2022-02,72000,2.99,360,620-659,91-95,44-50,ID,Purchase,Primary,Condo,ServicerE,2022
LN0006243,2018-04,177000,2.875,180,700-739,71-80,>50,VT,Refinance,Primary,PUD,ServicerD,2018
LN0006244,2019-07,118000,2.75,360,740-779,96-100,<=28,NM,Cash-Out Refinance,Primary,Single Family,ServicerD,2019
LN0006245,2022-03,63000,6.75,360,740-779,<=60,37-43,MT,Purchase,Primary,Condo,ServicerC,2022
LN0006246,2022-07,210000,3.75,360,740-779,61-70,37-43,NE,Purchase,Primary,Co-op,ServicerD,2022
LN0006247,2019-06,110000,4.125,360,620-659,<=60,44-50,NM,Cash-Out Refinance,Primary,Single Family,ServicerE,2019
LN0006248,2019-04,98000,4.875,240,740-779,91-95,29-36,RI,Cash-Out Refinance,Primary,Co-op,ServicerB,2019
LN0006249,2022-01,282000,5.99,360,740-779,,44-50,ID,Purchase,Primary,Multi-Family,ServicerB,2022
LN0006250,2020-06,181000,3.75,360,620-659,<=60,37-43,NE,Refinance,Primary,Condo,ServicerE,2020
LN0006251,2018-05,119000,2.99,180,700-739,>100,37-43,SD,Purchase,Primary,Multi-Family,ServicerD,2018
LN0006252,2020-09,243000,2.875,360,620-659,71-80,44-50,NM,Purchase,Investment,PUD,ServicerB,2020
LN0006253,2018-12,156000,5.74,360,660-699,71-80,44-50,NM,Refinance,Primary,PUD,ServicerC,2018
LN0006254,2021-11,173000,3.125,360,<620,61-70,29-36,ID,Refinance,Investment,Co-op,ServicerA,2021
LN0006255,2021-07,81000,3.5,360,700-739,<=60,29-36,ID,Purchase,Primary,Multi-Family,ServicerE,2021
LN0006256,2021-06,279000,3.75,360,700-739,96-100,44-50,KS,Cash-Out Refinance,Primary,Co-op,ServicerB,2021
LN0006257,2020-09,108000,3.125,240,740-779,61-70,44-50,ID,Cash-Out Refinance,Investment,Single Family,ServicerB,2020
LN0006258,2021-09,171000,2.75,360,740-779,71-80,44-50,HI,Purchase,Primary,Condo,ServicerB,2021
LN0006259,2020-02,207000,3.75,240,,96-100,44-50,NH,Purchase,Primary,Multi-Family,ServicerC,2020
LN0006260,2019-08,129000,2.875,360,660-699,61-70,44-50,RI,Refinance,Secondary,Multi-Family,ServicerC,2019
